"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","EGFRCL","CL","V1","V2","Q","KD","N","ETA(1)","ETA(2)","EPS(1)","seEGFRCL","seCL","seV1","seV2","seQ","seKD","seN","seETA(1)","seETA(2)","seEPS(1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
25,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,150.13,0,-7518.0695834100825,1.51849,7.47745,59.3552,40.2024,18.5667,0.0422483,0.819932,0.0814526,0.285427,0.052764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,194.23,0,-6956.5716619307805,1.55531,7.99097,50.8141,42.1388,20.5428,0.0440876,0.88747,0.0930423,0.255227,0.0385308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,257.45,0,-7503.0988841350463,1.56709,8.07253,55.7258,45.5996,21.631,0.0415586,0.840051,0.100422,0.313465,0.0489098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,200.41,0,-7789.7423502395723,1.66091,9.07186,55.8406,47.4908,21.4996,0.0431309,0.875818,0.109916,0.319461,0.0409927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,201.38,0,-7596.6738448448923,1.68215,8.68262,52.0876,44.9684,22.2883,0.0376449,0.811307,0.0945035,0.321434,0.0472556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,170.92,0,-7214.5503701613079,1.67414,8.31819,53.6101,47.7291,22.7892,0.0478309,0.886679,0.133155,0.28021,0.0424881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,NA,183.98,0,-7363.0655766007931,1.60741,8.30594,51.1928,47.8899,21.6281,0.0482071,0.921672,0.104512,0.216522,0.0376167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,181.95,0,-7484.8584304695605,1.44209,7.95799,58.6186,44.9897,20.7523,0.0462435,0.895202,0.151334,0.307394,0.0394824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,154.91,0,-7804.2217380176126,1.43351,8.88559,66.6971,45.3799,21.7117,0.0381832,0.815276,0.0987656,0.222419,0.0473977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,NA,283.97,0,-7319.9242469447136,1.50187,8.60047,56.2631,49.3315,22.6385,0.0391287,0.841797,0.094009,0.282243,0.0473453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,NA,249.31,0,-7457.8443940994903,1.44483,8.10032,56.4779,41.7454,21.8083,0.0500236,0.918118,0.0824294,0.202782,0.0404114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,NA,179.77,0,-7790.2940918992435,1.47523,8.2325,60.9298,45.1957,22.5713,0.0423628,0.848137,0.0859981,0.310513,0.0436525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,446.27,0,-7636.1892201521032,1.5068,9.25499,62.192,44.163,18.9055,0.0396113,0.853865,0.0898776,0.22461,0.0430828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,316.01,0,-7456.9430678016433,1.55264,8.20232,64.8862,42.8343,19.7296,0.0401543,0.836708,0.114094,0.256896,0.0391491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,193.2,0,-7667.8061565781727,1.52773,8.53575,59.5338,44.8423,20.7696,0.0473658,0.939416,0.0852938,0.215028,0.0452241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,253.1,0,-7289.3875859120308,1.50525,7.64236,47.5725,44.95,19.6551,0.0463171,0.861722,0.0792651,0.282526,0.0495039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,129.05,0,-7449.6295013037497,1.74041,9.0439,57.4296,43.8925,19.2604,0.0329515,0.748638,0.0576809,0.185695,0.0540298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,134.51,0,-7533.0778268815266,1.62024,8.13607,57.1281,45.8637,21.8173,0.0417977,0.846345,0.0965031,0.209582,0.0461956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,218.82,0,-7471.4809863902392,1.53622,8.75687,55.0491,47.5792,22.8799,0.0470738,0.915729,0.0807204,0.234428,0.0420057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,238.43,0,-7133.4346045098000,1.57065,8.31684,55.1784,40.5852,18.5774,0.0346826,0.784412,0.104459,0.248325,0.0448838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,157.98,0,-7206.8647591323233,1.41563,8.67754,58.1041,45.3361,19.6571,0.0350561,0.800697,0.115468,0.368826,0.041608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
