"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            58,      46.77419,              ,      39.51613,      62.09677,            66,      53.22581,              ,      37.90323,      60.48387,
"        40% PI",            31,            25,              ,      20.16129,      42.74194,            39,      31.45161,              ,      16.93548,      41.12903,
"        80% PI",             6,       4.83871,              ,      4.032258,      16.93548,            10,      8.064516,              ,      4.032258,      16.12903,
"        90% PI",             4,      3.225806,              ,      1.612903,      9.677419,             4,      3.225806,              ,     0.8064516,      9.677419,
"        95% PI",             2,      1.612903,              ,             0,      5.645161,             4,      3.225806,              ,             0,      5.645161,

NPC results  
bin 6: 124 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            58,      46.77419,              ,      36.29032,      63.70968,            66,      53.22581,              ,      36.29032,      63.70968,
"        40% PI",            31,            25,              ,      20.16129,      41.12903,            41,      33.06452,              ,      18.54839,      41.93548,
"        80% PI",             9,      7.258065,              ,      3.225806,      16.93548,            12,      9.677419,              ,      3.225806,      16.93548,
"        90% PI",             4,      3.225806,              ,     0.8064516,      10.48387,             9,      7.258065,              ,     0.8064516,      10.48387,
"        95% PI",             1,     0.8064516,              ,             0,      7.258065,             3,      2.419355,              ,             0,      6.451613,

NPC results  
bin 7: 126 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            66,      52.38095,              ,      38.09524,      65.07937,            60,      47.61905,              ,      34.92063,      61.90476,
"        40% PI",            44,      34.92063,              ,      16.66667,      42.85714,            36,      28.57143,              ,      17.46032,      42.85714,
"        80% PI",            13,      10.31746,              ,      2.380952,      19.04762,            15,      11.90476,              ,      3.174603,      17.46032,
"        90% PI",             4,      3.174603,              ,             0,      11.90476,             7,      5.555556,              ,     0.7936508,       9.52381,
"        95% PI",             0,             0,              ,             0,      7.936508,             5,      3.968254,              ,             0,      7.142857,

NPC results  
bin 8: 120 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            67,      55.83333,              ,            35,      65.83333,            53,      44.16667,              ,      34.16667,            65,
"        40% PI",            42,            35,              ,      18.33333,      44.16667,            32,      26.66667,              ,          17.5,      44.16667,
"        80% PI",            12,            10,              ,      1.666667,            20,            10,      8.333333,              ,      3.333333,      16.66667,
"        90% PI",             4,      3.333333,              ,             0,          12.5,             8,      6.666667,              ,     0.8333333,      10.83333,
"        95% PI",             1,     0.8333333,              ,             0,      8.333333,             6,             5,              ,             0,      6.666667,

NPC results  
bin 9: 118 observations
"","points below PI (count)","points below PI (%)","outside CI for below PI","95% CI below: from (%)","95% CI below: to (%)","points above PI (count)","points above PI (%)","outside CI for above PI","95% CI above: from (%)","95% CI above: to (%)",
"         0% PI",            57,      48.30508,              ,      36.44068,      65.25424,            61,      51.69492,              ,      34.74576,      63.55932,
"        40% PI",            36,      30.50847,              ,      17.79661,       44.0678,            33,       27.9661,              ,      16.10169,      41.52542,
"        80% PI",            11,      9.322034,              ,      1.694915,      20.33898,            11,      9.322034,              ,      2.542373,      16.94915,
"        90% PI",             2,      1.694915,              ,             0,      12.71186,             6,      5.084746,              ,             0,      11.01695,
"        95% PI",             2,      1.694915,              ,             0,      8.474576,             5,      4.237288,              ,             0,      6.779661,
